prolificid,subject_id,age,gender,label,trialnum,status,outcome,getsout,bloc,img1,img2,buttonchoice,rtchoice,rt,response,key_press,time_elapsed,internal_node_id,trial_type,trial_index,stimulus,responses,date,time,datefinish,timefinish,
5c73e8a67fafbd001147187b,9797764,,,surveyid,,,,,,,,,,3850,,,21510,0.0-3.0,survey-text,3,,"{Q0"":""5c73e8a67fafbd001147187b""}""",04/05/2020,1.59E+12,04/05/2020,1.59E+12,
5dadad152e8c52001757fbe6,4382999,,,surveyid,,,,,,,,,,3858,,,29888,0.0-3.0,survey-text,3,,"{Q0"":""5dadad152e8c52001757fbe6""}""",04/05/2020,1.59E+12,04/05/2020,1.59E+12,
5dadad152e8c52001757fbe6,4382999,20,F,survey,,,,,,,,,,4844,,,34741,0.0-4.0,survey-text,4,,"{Q0"":""20""","Q1:""F""}""",04/05/2020,1.59E+12,04/05/2020,1.59E+12
5c73e8a67fafbd001147187b,9797764,38,M,survey,,,,,,,,,,9749,,,31265,0.0-4.0,survey-text,4,,"{Q0"":""38""","Q1:""M""}""",04/05/2020,1.59E+12,04/05/2020,1.59E+12
5e64a832757e6121f493724c,7348245,,,surveyid,,,,,,,,,,19528,,,71605,0.0-3.0,survey-text,3,,"{Q0"":""5e64a832757e6121f493724c""}""",04/05/2020,1.59E+12,04/05/2020,1.59E+12,
5e64a832757e6121f493724c,7348245,19,M,survey,,,,,,,,,,9462,,,81075,0.0-4.0,survey-text,4,,"{Q0"":""19""","Q1:""M""}""",04/05/2020,1.59E+12,04/05/2020,1.59E+12
5dadad152e8c52001757fbe6,4382999,20,F,scaleresp,8,1,2,1,1,10,12,,,,,,120126,0.0-12.0,html-slider-response,12,"<p style=font-size:16px; text-align:center;"">  How responsible do you feel concerning <br> the outcome ? </p>""",,04/05/2020,1.59E+12,04/05/2020,1.59E+12,
5dadad152e8c52001757fbe6,4382999,20,F,scaleresp,19,2,1,1,1,8,10,0,594,4696.81,56,,134443,0.0-17.0,html-slider-response,17,"<p style=font-size:16px; text-align:center;"">  How responsible do you feel concerning <br> the outcome ? </p>""",,04/05/2020,1.59E+12,04/05/2020,1.59E+12,
5dadad152e8c52001757fbe6,4382999,20,F,scaleresp,17,2,1,1,1,15,19,0,686,3823.685,63,,147677,0.0-22.0,html-slider-response,22,"<p style=font-size:16px; text-align:center;"">  How responsible do you feel concerning <br> the outcome ? </p>""",,04/05/2020,1.59E+12,04/05/2020,1.59E+12,
5dadad152e8c52001757fbe6,4382999,20,F,scaleresp,16,1,1,1,1,4,14,1,1017,3169.985,23,,160642,0.0-27.0,html-slider-response,27,"<p style=font-size:16px; text-align:center;"">  How responsible do you feel concerning <br> the outcome ? </p>""",,04/05/2020,1.59E+12,04/05/2020,1.59E+12,
5dadad152e8c52001757fbe6,4382999,20,F,scaleresp,9,2,2,1,1,17,18,0,633,2421.99,26,,172224,0.0-32.0,html-slider-response,32,"<p style=font-size:16px; text-align:center;"">  How responsible do you feel concerning <br> the outcome ? </p>""",,04/05/2020,1.59E+12,04/05/2020,1.59E+12,
5dadad152e8c52001757fbe6,4382999,20,F,scaleresp,12,1,1,2,1,4,5,1,597,2907.075,21,,184637,0.0-37.0,html-slider-response,37,"<p style=font-size:16px; text-align:center;"">  How responsible do you feel concerning <br> the outcome ? </p>""",,04/05/2020,1.59E+12,04/05/2020,1.59E+12,
5c73e8a67fafbd001147187b,9797764,38,M,scaleresp,11,2,1,2,1,3,10,,,,,,179762,0.0-12.0,html-slider-response,12,"<p style=font-size:16px; text-align:center;"">  How responsible do you feel concerning <br> the outcome ? </p>""",,04/05/2020,1.59E+12,04/05/2020,1.59E+12,
5dadad152e8c52001757fbe6,4382999,20,F,scaleresp,11,2,1,2,1,4,16,0,1001,3031.195,15,,197696,0.0-42.0,html-slider-response,42,"<p style=font-size:16px; text-align:center;"">  How responsible do you feel concerning <br> the outcome ? </p>""",,04/05/2020,1.59E+12,04/05/2020,1.59E+12,
