prolificid,subject_id,age,gender,label,trialnum,status,outcome,getsout,bloc,img1,img2,buttonchoice,rtchoice,rt,response,key_press,time_elapsed,internal_node_id,trial_type,trial_index,stimulus,responses,playerout,playeroutnumber,rated,date,time,datefinish,timefinish,,
5d4755febdd31c0019bb78e3,8551490,,,surveyid,,,,,,,,,,3031,,,14312,0.0-3.0,survey-text,3,,"{Q0"":""5d4755febdd31c0019bb78e3""}""",,,,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5d4755febdd31c0019bb78e3,8551490,25,M,survey,,,,,,,,,,4905,,,19240,0.0-4.0,survey-text,4,,"{Q0"":""25""","Q1:""M""}""",,,,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,
5d4755febdd31c0019bb78e3,8551490,25,M,scaleresp,36,2,1,2,1,2,8,0,1483,4021.2,24,,99206,0.0-12.0,html-slider-response,12,"<p style=font-size:16px; text-align:center;"">  How responsible is Player 50 for the outcome ? </p>""",,4,Player 82,Player 50,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5d4755febdd31c0019bb78e3,8551490,25,M,scaleresp,37,1,2,1,1,6,20,1,1559,2556.4,73,,112395,0.0-17.0,html-slider-response,17,"<p style=font-size:16px; text-align:center;"">  How responsible is Player 82 for the outcome ? </p>""",,4,Player 82,Player 82,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5d4755febdd31c0019bb78e3,8551490,25,M,scaleresp,1,1,1,1,1,13,16,1,1417,2629,61,,125202,0.0-22.0,html-slider-response,22,"<p style=font-size:16px; text-align:center;"">  How responsible is Player 16 for the outcome ? </p>""",,0,Player 16,Player 16,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5d4755febdd31c0019bb78e3,8551490,25,M,scaleresp,12,2,1,2,1,4,17,0,737,1401.2,73,,136097,0.0-27.0,html-slider-response,27,"<p style=font-size:16px; text-align:center;"">  How responsible is Player 34 for the outcome ? </p>""",,1,Player 50,Player 34,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5d4755febdd31c0019bb78e3,8551490,25,M,scaleresp,2,2,1,1,1,8,19,0,1019,1585.8,60,,147461,0.0-32.0,html-slider-response,32,"<p style=font-size:16px; text-align:center;"">  How responsible is Player 16 for the outcome ? </p>""",,0,Player 16,Player 16,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5d4755febdd31c0019bb78e3,8551490,25,M,scaleresp,15,1,2,2,1,10,13,1,1137,2348.3,30,,159649,0.0-37.0,html-slider-response,37,"<p style=font-size:16px; text-align:center;"">  How responsible is Player 16 for the outcome ? </p>""",,1,Player 50,Player 16,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5d4755febdd31c0019bb78e3,8551490,25,M,scaleresp,9,1,1,1,1,10,12,1,977,1399.4,31,,170926,0.0-42.0,html-slider-response,42,"<p style=font-size:16px; text-align:center;"">  How responsible is Player 50 for the outcome ? </p>""",,1,Player 50,Player 50,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5d4755febdd31c0019bb78e3,8551490,25,M,scaleresp,21,1,2,1,1,2,4,0,849,2608.1,99,,183141,0.0-47.0,html-slider-response,47,"<p style=font-size:16px; text-align:center;""> &nbsp &nbsp &nbsp How responsible are YOU for the outcome ?  &nbsp &nbsp </p>""",,2,You,You,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5d4755febdd31c0019bb78e3,8551490,25,M,scaleresp,34,2,1,1,1,3,10,0,1089,2011.9,83,,195205,0.0-52.0,html-slider-response,52,"<p style=font-size:16px; text-align:center;"">  How responsible is Player 82 for the outcome ? </p>""",,4,Player 82,Player 82,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5d4755febdd31c0019bb78e3,8551490,25,M,scaleresp,29,1,2,1,1,12,16,1,927,1561.6,18,,206424,0.0-57.0,html-slider-response,57,"<p style=font-size:16px; text-align:center;"">  How responsible is Player 34 for the outcome ? </p>""",,3,Player 34,Player 34,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5d4755febdd31c0019bb78e3,8551490,25,M,scaleresp,22,2,2,1,1,11,19,0,993,1782.1,75,,218001,0.0-62.0,html-slider-response,62,"<p style=font-size:16px; text-align:center;""> &nbsp &nbsp &nbsp How responsible are YOU for the outcome ?  &nbsp &nbsp </p>""",,2,You,You,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5d4755febdd31c0019bb78e3,8551490,25,M,scaleresp,10,2,1,1,1,14,20,0,1098,1665.6,63,,229381,0.0-67.0,html-slider-response,67,"<p style=font-size:16px; text-align:center;"">  How responsible is Player 50 for the outcome ? </p>""",,1,Player 50,Player 50,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5d4755febdd31c0019bb78e3,8551490,25,M,scaleresp,35,1,1,2,1,5,7,1,948,1210,76,,240251,0.0-72.0,html-slider-response,72,"<p style=font-size:16px; text-align:center;"">  How responsible is Player 16 for the outcome ? </p>""",,4,Player 82,Player 16,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5d4755febdd31c0019bb78e3,8551490,25,M,scaleresp,18,2,1,1,1,17,20,1,990,1660.8,100,,251596,0.0-77.0,html-slider-response,77,"<p style=font-size:16px; text-align:center;""> &nbsp &nbsp &nbsp How responsible are YOU for the outcome ?  &nbsp &nbsp </p>""",,2,You,You,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5ab54f75fa3b4e000172c7a6,1818214,,,surveyid,,,,,,,,,,28549,,,45768,0.0-3.0,survey-text,3,,"{Q0"":""5ab54f75fa3b4e000172c7a6""}""",,,,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5d4755febdd31c0019bb78e3,8551490,25,M,scaleresp,28,2,1,2,1,17,18,0,1429,1402.9,84,,263327,0.0-82.0,html-slider-response,82,"<p style=font-size:16px; text-align:center;"">  How responsible is Player 82 for the outcome ? </p>""",,3,Player 34,Player 82,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5ab54f75fa3b4e000172c7a6,1818214,31,M,survey,,,,,,,,,,8406,,,54193,0.0-4.0,survey-text,4,,"{Q0"":""31""","Q1:""M""}""",,,,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,
5d4755febdd31c0019bb78e3,8551490,25,M,scaleresp,39,1,2,2,1,7,19,1,943,1087.4,75,,274228,0.0-87.0,html-slider-response,87,"<p style=font-size:16px; text-align:center;"">  How responsible is Player 16 for the outcome ? </p>""",,4,Player 82,Player 16,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5d4755febdd31c0019bb78e3,8551490,25,M,scaleresp,8,2,2,2,1,13,19,0,612,1341.5,77,,285197,0.0-92.0,html-slider-response,92,"<p style=font-size:16px; text-align:center;"">  How responsible is Player 34 for the outcome ? </p>""",,0,Player 16,Player 34,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5d4755febdd31c0019bb78e3,8551490,25,M,scaleresp,19,1,1,2,1,7,17,1,1019,1366.9,78,,296379,0.0-97.0,html-slider-response,97,"<p style=font-size:16px; text-align:center;""> &nbsp &nbsp &nbsp How responsible are YOU for the outcome ?  &nbsp &nbsp </p>""",,2,You,Player 34,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5d4755febdd31c0019bb78e3,8551490,25,M,scaleresp,3,1,1,2,1,10,19,0,1378,1205.8,84,,307942,0.0-102.0,html-slider-response,102,"<p style=font-size:16px; text-align:center;"">  How responsible is Player 82 for the outcome ? </p>""",,0,Player 16,Player 82,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
