prolificid,subject_id,age,gender,label,trialnum,status,outcome,getsout,bloc,img1,img2,buttonchoice,rtchoice,rt,response,key_press,time_elapsed,internal_node_id,trial_type,trial_index,stimulus,responses,date,time,datefinish,timefinish,
5be57da1f6b5dd0001170bbe,4467383,,,surveyid,,,,,,,,,,4614,,,18556,0.0-3.0,survey-text,3,,"{Q0"":""""}""",08/05/2020,1.58892E+12,08/05/2020,1.58892E+12,
5be57da1f6b5dd0001170bbe,4467383,36,F,survey,,,,,,,,,,6522,,,25084,0.0-4.0,survey-text,4,,"{Q0"":""36""","Q1:""F""}""",08/05/2020,1.58892E+12,08/05/2020,1.58892E+12
57754d57ca706f000190eaf1,8231485,,,surveyid,,,,,,,,,,26454,,,39928,0.0-3.0,survey-text,3,,"{Q0"":""57754d57ca706f000190eaf1""}""",08/05/2020,1.58892E+12,08/05/2020,1.58892E+12,
58da74c7f94de20001fbd4af,1598476,,,surveyid,,,,,,,,,,4198,,,28782,0.0-3.0,survey-text,3,,"{Q0"":""58da74c7f94de20001fbd4af""}""",08/05/2020,1.58892E+12,08/05/2020,1.58892E+12,
58da74c7f94de20001fbd4af,1598476,28,M,survey,,,,,,,,,,7286,,,36089,0.0-4.0,survey-text,4,,"{Q0"":""28""","Q1:""M""}""",08/05/2020,1.58892E+12,08/05/2020,1.58892E+12
5be57da1f6b5dd0001170bbe,4467383,36,F,scaleresp,10,1,1,2,1,2,6,0,1398,2620.905,76,,61780,0.0-12.0,html-slider-response,12,"<p style=font-size:16px; text-align:center;"">  How responsible do you feel concerning <br> the outcome ? </p>""",,08/05/2020,1.58892E+12,08/05/2020,1.58892E+12,
57754d57ca706f000190eaf1,8231485,35,M,survey,,,,,,,,,,28807,,,68766,0.0-4.0,survey-text,4,,"{Q0"":""35""","Q1:""M""}""",08/05/2020,1.58892E+12,08/05/2020,1.58892E+12
5be57da1f6b5dd0001170bbe,4467383,36,F,scaleresp,13,2,1,2,1,6,11,,,,,,72649,0.0-17.0,html-slider-response,17,"<p style=font-size:16px; text-align:center;"">  How responsible do you feel concerning <br> the outcome ? </p>""",,08/05/2020,1.58892E+12,08/05/2020,1.58892E+12,
5be57da1f6b5dd0001170bbe,4467383,36,F,scaleresp,19,2,1,1,1,10,15,,,,,,83539,0.0-22.0,html-slider-response,22,"<p style=font-size:16px; text-align:center;"">  How responsible do you feel concerning <br> the outcome ? </p>""",,08/05/2020,1.58892E+12,08/05/2020,1.58892E+12,
5cdf3e46bb4ac30001597901,5592673,,,surveyid,,,,,,,,,,77620,,,142897,0.0-3.0,survey-text,3,,"{Q0"":""5cdf3e46bb4ac30001597901""}""",08/05/2020,1.58892E+12,08/05/2020,1.58892E+12,
5cdf3e46bb4ac30001597901,5592673,23,M,survey,,,,,,,,,,10337,,,153238,0.0-4.0,survey-text,4,,"{Q0"":""23""","Q1:""M""}""",08/05/2020,1.58892E+12,08/05/2020,1.58892E+12
5be57da1f6b5dd0001170bbe,4467383,36,F,scaleresp,16,1,1,1,1,1,2,1,514,2365.185,33,,95180,0.0-27.0,html-slider-response,27,"<p style=font-size:16px; text-align:center;"">  How responsible do you feel concerning <br> the outcome ? </p>""",,08/05/2020,1.58892E+12,08/05/2020,1.58892E+12,
5be57da1f6b5dd0001170bbe,4467383,36,F,scaleresp,17,2,1,1,1,12,17,,,,,,105928,0.0-32.0,html-slider-response,32,"<p style=font-size:16px; text-align:center;"">  How responsible do you feel concerning <br> the outcome ? </p>""",,08/05/2020,1.58892E+12,08/05/2020,1.58892E+12,
5ca59f9f30710b001605b491,8120291,,,surveyid,,,,,,,,,,7424,,,19052,0.0-3.0,survey-text,3,,"{Q0"":""5ca59f9f30710b001605b491""}""",08/05/2020,1.58892E+12,08/05/2020,1.58892E+12,
5ca59f9f30710b001605b491,8120291,20,m,survey,,,,,,,,,,2765,,,21819,0.0-4.0,survey-text,4,,"{Q0"":""20""","Q1:""m""}""",08/05/2020,1.58892E+12,08/05/2020,1.58892E+12
5be57da1f6b5dd0001170bbe,4467383,36,F,scaleresp,18,1,1,1,1,1,11,0,974,1813.675,72,,117459,0.0-37.0,html-slider-response,37,"<p style=font-size:16px; text-align:center;"">  How responsible do you feel concerning <br> the outcome ? </p>""",,08/05/2020,1.58892E+12,08/05/2020,1.58892E+12,
