"id","repetition","beta8","n","p"
1,1,0,5,1
2,1,0.05,5,0.456734621301615
3,1,0.15,5,0.0210277867370707
4,1,0.25,5,0.0121127210174485
5,1,0.5,5,0.0534112904102507
6,1,0,25,0.328694683236494
7,1,0.05,25,0.777709644887955
8,1,0.15,25,9.31754953602535e-10
9,1,0.25,25,0.00181666625840897
10,1,0.5,25,7.15379414957731e-09
11,1,0,50,0.99999930868306
12,1,0.05,50,0.657027868575804
13,1,0.15,50,0.000207873450980116
14,1,0.25,50,3.19692902718367e-06
15,1,0.5,50,2.44376645313931e-08
16,1,0,150,0.159396727935807
17,1,0.05,150,0.183406741478685
18,1,0.15,150,1.88059699147542e-05
19,1,0.25,150,1.08117764147211e-09
20,1,0.5,150,4.29287258624827e-17
21,1,0,500,0.311812626093218
22,1,0.05,500,0.111356721749449
23,1,0.15,500,1.9322316301909e-07
24,1,0.25,500,1.67202093463528e-12
25,1,0.5,500,2.13631237635024e-18
26,1,0,5000,0.311812626093218
27,1,0.05,5000,0.111356721749449
28,1,0.15,5000,1.9322316301909e-07
29,1,0.25,5000,1.67202093463528e-12
30,1,0.5,5000,2.13631237635024e-18
31,2,0,5,1
32,2,0.05,5,2.74175340082711e-05
33,2,0.15,5,0.0368102951691023
34,2,0.25,5,0.0019206337171779
35,2,0.5,5,0.00285287760091576
36,2,0,25,1
37,2,0.05,25,0.613193261475663
38,2,0.15,25,0.0163694891357907
39,2,0.25,25,6.92722658919336e-08
40,2,0.5,25,6.26009067041246e-09
41,2,0,50,0.660598770703666
42,2,0.05,50,0.682241290301522
43,2,0.15,50,0.000183501343078885
44,2,0.25,50,5.1881815130655e-07
45,2,0.5,50,1.44153268405751e-14
46,2,0,150,0.312210054674024
47,2,0.05,150,0.14005068108436
48,2,0.15,150,3.26101130378035e-06
49,2,0.25,150,6.17618372230275e-11
50,2,0.5,150,2.31278643479557e-17
51,2,0,500,0.311812626093218
52,2,0.05,500,0.111356721749449
53,2,0.15,500,1.9322316301909e-07
54,2,0.25,500,1.67202093463528e-12
55,2,0.5,500,2.13631237635024e-18
56,2,0,5000,0.311812626093218
57,2,0.05,5000,0.111356721749449
58,2,0.15,5000,1.9322316301909e-07
59,2,0.25,5000,1.67202093463528e-12
60,2,0.5,5000,2.13631237635024e-18
61,3,0,5,0.999999914139145
62,3,0.05,5,0.506902092950955
63,3,0.15,5,0.0531030220744245
64,3,0.25,5,0.000342717236920949
65,3,0.5,5,0.690578419835896
66,3,0,25,1
67,3,0.05,25,0.464069133765157
68,3,0.15,25,0.634944681236608
69,3,0.25,25,0.0296251340347455
70,3,0.5,25,0.000384504171675226
71,3,0,50,0.660196634549501
72,3,0.05,50,1.02052630308832e-06
73,3,0.15,50,1.27399107496711e-14
74,3,0.25,50,0.000126840202309637
75,3,0.5,50,2.07715400734216e-12
76,3,0,150,0.312274368913554
77,3,0.05,150,0.178466306269675
78,3,0.15,150,5.1134806627089e-06
79,3,0.25,150,1.89622233570922e-11
80,3,0.5,150,2.23467338267273e-15
81,3,0,500,0.311812626093218
82,3,0.05,500,0.111356721749449
83,3,0.15,500,1.9322316301909e-07
84,3,0.25,500,1.67202093463528e-12
85,3,0.5,500,2.13631237635024e-18
86,3,0,5000,0.311812626093218
87,3,0.05,5000,0.111356721749449
88,3,0.15,5000,1.9322316301909e-07
89,3,0.25,5000,1.67202093463528e-12
90,3,0.5,5000,2.13631237635024e-18
91,4,0,5,0.373900966300055
92,4,0.05,5,0.00808336104520508
93,4,0.15,5,0.000259283782137391
94,4,0.25,5,0.00968653270628119
95,4,0.5,5,0.000485290166095327
96,4,0,25,0.162232590034004
97,4,0.05,25,0.000891233079156082
98,4,0.15,25,0.0694915229430004
99,4,0.25,25,0.212118368669996
100,4,0.5,25,0.000219317773388307
101,4,0,50,0.314882396653129
102,4,0.05,50,1.59268260346165e-06
103,4,0.15,50,0.000261258117672735
104,4,0.25,50,7.27997317880625e-05
105,4,0.5,50,1.18033074705783e-11
106,4,0,150,0.312274368913548
107,4,0.05,150,0.166228064721121
108,4,0.15,150,3.24399589033052e-09
109,4,0.25,150,1.64796421484526e-10
110,4,0.5,150,3.89881971691797e-15
111,4,0,500,0.311864336074684
112,4,0.05,500,0.111356721749449
113,4,0.15,500,1.9322316301909e-07
114,4,0.25,500,1.67202093463528e-12
115,4,0.5,500,2.13631237635024e-18
116,4,0,5000,0.311812626093218
117,4,0.05,5000,0.111356721749449
118,4,0.15,5000,1.9322316301909e-07
119,4,0.25,5000,1.67202093463528e-12
120,4,0.5,5000,2.13631237635024e-18
121,5,0,5,0.373900966300064
122,5,0.05,5,0.000943680379750317
123,5,0.15,5,0.00147931183861703
124,5,0.25,5,0.00195803709917859
125,5,0.5,5,0.015055008379772
126,5,0,25,0.328694683236491
127,5,0.05,25,0.877016123605727
128,5,0.15,25,7.56725674771659e-10
129,5,0.25,25,0.00738148543455334
130,5,0.5,25,7.4659177061179e-08
131,5,0,50,0.324174342386007
132,5,0.05,50,0.456132564950345
133,5,0.15,50,0.00076760912246959
134,5,0.25,50,3.07694773992052e-08
135,5,0.5,50,8.13240104722204e-08
136,5,0,150,0.312029124040424
137,5,0.05,150,0.163641962122725
138,5,0.15,150,7.81886461524776e-06
139,5,0.25,150,9.22144276437912e-11
140,5,0.5,150,1.71978399063699e-17
141,5,0,500,0.311812626093218
142,5,0.05,500,0.111356721749449
143,5,0.15,500,1.9322316301909e-07
144,5,0.25,500,1.67202093463528e-12
145,5,0.5,500,2.13631237635024e-18
146,5,0,5000,0.311812626093218
147,5,0.05,5000,0.111356721749449
148,5,0.15,5000,1.9322316301909e-07
149,5,0.25,5000,1.67202093463528e-12
150,5,0.5,5000,2.13631237635024e-18
151,6,0,5,1
152,6,0.05,5,0.170370998939148
153,6,0.15,5,0.0103562389256524
154,6,0.25,5,0.00558786568079206
155,6,0.5,5,0.0230527093151521
156,6,0,25,0.999999935190619
157,6,0.05,25,0.00013017612440813
158,6,0.15,25,0.414420786053208
159,6,0.25,25,0.000820714110370528
160,6,0.5,25,6.97864357741684e-11
161,6,0,50,0.325052732723574
162,6,0.05,50,0.317502267693928
163,6,0.15,50,0.00284789432096401
164,6,0.25,50,1.19707851621846e-07
165,6,0.5,50,1.78114706479053e-07
166,6,0,150,0.312409622068179
167,6,0.05,150,0.0152084678302244
168,6,0.15,150,1.45566794135606e-06
169,6,0.25,150,4.37831609211831e-25
170,6,0.5,150,6.16304779173195e-15
171,6,0,500,0.311812626093218
172,6,0.05,500,0.111356721749449
173,6,0.15,500,1.9322316301909e-07
174,6,0.25,500,1.67202093463528e-12
175,6,0.5,500,2.13631237635024e-18
176,6,0,5000,0.311812626093218
177,6,0.05,5000,0.111356721749449
178,6,0.15,5000,1.9322316301909e-07
179,6,0.25,5000,1.67202093463528e-12
180,6,0.5,5000,2.13631237635024e-18
181,7,0,5,0.373900966300057
182,7,0.05,5,0.0215641939604019
183,7,0.15,5,0.00264873819307551
184,7,0.25,5,0.0178604874947628
185,7,0.5,5,0.00202842151406012
186,7,0,25,0.162672916075915
187,7,0.05,25,8.28563873932361e-09
188,7,0.15,25,0.107585663385125
189,7,0.25,25,8.46115387284272e-09
190,7,0.5,25,7.2744489835045e-09
191,7,0,50,0.160652165232707
192,7,0.05,50,2.87701550157031e-17
193,7,0.15,50,0.000192210928653535
194,7,0.25,50,7.46292630526178e-07
195,7,0.5,50,1.05387207337714e-11
196,7,0,150,0.312340854109647
197,7,0.05,150,0.172912872751799
198,7,0.15,150,4.94888384971191e-06
199,7,0.25,150,3.57099237923858e-10
200,7,0.5,150,1.64437726661629e-14
201,7,0,500,0.311864336074632
202,7,0.05,500,0.111356721749449
203,7,0.15,500,1.9322316301909e-07
204,7,0.25,500,1.67202093463528e-12
205,7,0.5,500,2.13631237635024e-18
206,7,0,5000,0.311812626093218
207,7,0.05,5000,0.111356721749449
208,7,0.15,5000,1.9322316301909e-07
209,7,0.25,5000,1.67202093463528e-12
210,7,0.5,5000,2.13631237635024e-18
211,8,0,5,1
212,8,0.05,5,0.00466583151528583
213,8,0.15,5,0.0072200654048079
214,8,0.25,5,0.00198613082209289
215,8,0.5,5,0.00657172820468392
216,8,0,25,0.330564931278194
217,8,0.05,25,0.79757899028241
218,8,0.15,25,6.06867045348857e-11
219,8,0.25,25,0.00760737031108133
220,8,0.5,25,1.87588037888725e-05
221,8,0,50,0.999999811422354
222,8,0.05,50,0.137523191461463
223,8,0.15,50,0.000229326346407029
224,8,0.25,50,4.92012570224341e-17
225,8,0.5,50,2.50219412051119e-07
226,8,0,150,0.311917607132946
227,8,0.05,150,0.226189082846414
228,8,0.15,150,3.88314377676609e-11
229,8,0.25,150,2.2773601594733e-10
230,8,0.5,150,5.10085551339498e-14
231,8,0,500,0.311812626093218
232,8,0.05,500,0.111356721749449
233,8,0.15,500,1.9322316301909e-07
234,8,0.25,500,1.67202093463528e-12
235,8,0.5,500,2.13631237635024e-18
236,8,0,5000,0.311812626093218
237,8,0.05,5000,0.111356721749449
238,8,0.15,5000,1.9322316301909e-07
239,8,0.25,5000,1.67202093463528e-12
240,8,0.5,5000,2.13631237635024e-18
241,9,0,5,1
242,9,0.05,5,0.00372363252912404
243,9,0.15,5,0.00103852111097513
244,9,0.25,5,0.86954919340515
245,9,0.5,5,0.0165679483820517
246,9,0,25,0.328694683236475
247,9,0.05,25,0.619234638747988
248,9,0.15,25,0.0278532947759074
249,9,0.25,25,3.40009864897789e-12
250,9,0.5,25,1.06799220122184e-11
251,9,0,50,0.324174342386059
252,9,0.05,50,1.30988282808747e-06
253,9,0.15,50,2.75207499851725e-05
254,9,0.25,50,3.74762952340517e-05
255,9,0.5,50,2.19970551731799e-17
256,9,0,150,0.312274368913543
257,9,0.05,150,0.183332961324139
258,9,0.15,150,2.2172550978056e-06
259,9,0.25,150,3.60923565561718e-10
260,9,0.5,150,7.01057153068726e-15
261,9,0,500,0.311812626093218
262,9,0.05,500,0.111356721749449
263,9,0.15,500,1.9322316301909e-07
264,9,0.25,500,1.67202093463528e-12
265,9,0.5,500,2.13631237635024e-18
266,9,0,5000,0.311812626093218
267,9,0.05,5000,0.111356721749449
268,9,0.15,5000,1.9322316301909e-07
269,9,0.25,5000,1.67202093463528e-12
270,9,0.5,5000,2.13631237635024e-18
271,10,0,5,0.9999991300626
272,10,0.05,5,0.00220048163254935
273,10,0.15,5,0.0259282317957099
274,10,0.25,5,4.22579696406653e-05
275,10,0.5,5,0.0179895279376194
276,10,0,25,0.328694683236467
277,10,0.05,25,7.09516501520925e-10
278,10,0.15,25,4.15424344989625e-10
279,10,0.25,25,0.00408705704955078
280,10,0.5,25,2.25715629095927e-06
281,10,0,50,0.629435551958643
282,10,0.05,50,0.943013634782355
283,10,0.15,50,5.96014556559875e-15
284,10,0.25,50,0.00013127086124241
285,10,0.5,50,7.32007756225977e-07
286,10,0,150,0.159521962018986
287,10,0.05,150,0.0243593513060464
288,10,0.15,150,2.35095253042834e-09
289,10,0.25,150,1.65690076443182e-10
290,10,0.5,150,8.83819899731701e-20
291,10,0,500,0.311812626093218
292,10,0.05,500,0.111356721749449
293,10,0.15,500,1.9322316301909e-07
294,10,0.25,500,1.67202093463528e-12
295,10,0.5,500,2.13631237635024e-18
296,10,0,5000,0.311812626093218
297,10,0.05,5000,0.111356721749449
298,10,0.15,5000,1.9322316301909e-07
299,10,0.25,5000,1.67202093463528e-12
300,10,0.5,5000,2.13631237635024e-18
301,11,0,5,1
302,11,0.05,5,0.00606373082101781
303,11,0.15,5,0.00136560133345164
